118.326	0.487529	9.65508	0.349894	10.9619	1
301.296	0.516243	10.5184	0.372785	11.8664	1
1722.57	0.567713	12.0708	0.402598	17.9583	1
1776.41	0.848401	13.857	0.55213	15.9945	0.999996
1883.6	0.576469	11.0153	0.637046	8.46562	1
1941.44	0.496991	10.971	0.635563	8.34833	1
2006.4	0.498948	10.5656	0.488202	9.29273	1
2074.74	0.556173	10.7643	0.661973	10.6015	1
2122.35	0.620521	11.2466	0.459206	10.73	1
2242.59	0.701499	11.5581	0.761872	26.4705	0.990729
2275.42	0.696695	12.3403	0.792193	7.48684	1
2331.31	0.646189	11.6342	0.705379	7.99131	1
2414.5	0.467292	11.4226	0.687531	12.1349	1
2498.92	1.70055	12.3349	0.624689	5.73378	1
2557.34	0.803265	12.0138	0.68564	10.3481	1
2897.54	0.3742	11.9543	0.576654	17.8575	1
