86.8627	0.393138	15.7272	0.392954	3.40165	1
200.342	0.66087	15.1547	0.391003	2.94035	1
316.023	0.405759	14.846	0.36514	5.21078	1
431.573	0.279902	15.1375	0.388321	11.0635	1
549.729	0.309345	15.2717	0.39453	14.0777	1
669.303	0.534896	14.3892	0.365401	8.80499	1
788.468	0.472614	14.2493	0.423886	11.3951	1
908.663	0.498077	14.4404	0.435976	14.3191	1
1030.96	0.887051	14.6847	0.440915	15.682	1
1153.62	0.404081	14.9765	0.456917	18.6528	1
1278.71	0.427506	14.8181	0.455317	16.8391	1
1404.23	0.657448	14.6024	0.493217	19.3972	1
1530.77	0.660543	14.5939	0.440563	15.0713	1
1659.23	0.614124	15.6263	0.43109	5.49506	1
1788.17	0.470636	15.6376	0.432313	6.00372	1
1915.53	0.655574	15.8175	0.39162	3.21464	1
2053.52	0.627354	16.2793	0.443251	3.95499	1
2186.25	0.497256	16.3334	0.426813	2.96558	1
2321.9	0.620222	16.4676	0.442234	4.37435	1
2458.51	0.542631	16.597	0.427596	2.27788	1
2599.09	0.518216	17.3386	0.436769	1.92454	1
2744.57	0.530844	16.9066	0.3741	3.93046	1
2887.13	0.494945	16.898	0.351671	10.4089	1
3032.43	0.436847	17.2302	0.350367	9.3622	1
3180.8	0.487384	17.8736	0.340609	5.26817	1
