500    165    7    12    7
520    180    7    11    7
540    198    7    11    7
560    213    7    9    7
570    205    7    7    7
580    218    7    8    7
590    230    7    7    7
600    231    7    7    7
610    233    7    6    7
630    263    8    9    7
635    262    8    10    7
640    224    7    119    9
641    225    7    178    10
642    191    7    265    11
643    180    7    364    12
644    158    7    467    14
645    148    6    549    15
646    143    6    647    16
647    129    6    697    17
648    124    6    732    17
649    111    6    745    18
650    92    6    778    18
651    87    6    795    18
652    82    6    803    18
653    75    6    819    19
654    75    6    791    18
655    74    6    827    19
656    70    6    835    19
657    68    6    835    19
658    68    6    843    19
659    63    6    847    19
660    62    6    845    19
665    55    6    872    19
670    50    6    885    20
680    48    5    872    19
700    50    6    914    20
730    47    5    908    20
770    47    5    928    20
800    51    6    941    20
