File Dati SpectraSuite
++++++++++++++++++++++++++++++++++++
Data: Mon Feb 25 16:28:33 CET 2019
Utente: Studente
Spettro Scuro Presente: Si
Spettro di Riferimento Presente: No
Numero di Componenti Spettri Campionati: 1
Spettrometri: USB4F01341
Tempo di integrazione (usec): 45000 (USB4F01341)
Media Spettri: 10 (USB4F01341)
Appiattimento Boxcar: 0 (USB4F01341)
Correggi Oscurità Elettronica: Si (USB4F01341)
Strobo/Lampada Abilitato: No (USB4F01341)
Correct for Detector Non-linearity: No (USB4F01341)
Correggi Stray Light: No (USB4F01341)
Numero di Pixel nello Spettro Elaborato: 3648
>>>>>Comincia Dati dello Spettro Elaborati<<<<<
337,57	-22,66
337,79	-22,66
338,02	-22,66
338,24	-52,35
338,47	-53,99
338,69	-16,31
338,92	-3,41
339,14	7,04
339,36	32,23
339,59	25,06
339,81	13,18
340,04	15,64
340,26	24,65
340,49	-3,61
340,71	33,46
340,93	22,81
341,16	-8,12
341,38	-1,77
341,61	-3,82
341,83	52,71
342,05	29,98
342,28	12,57
342,50	28,54
342,73	8,68
342,95	26,08
343,17	-1,36
343,40	7,04
343,62	-5,66
343,85	13,59
344,07	14,41
344,29	17,07
344,52	-4,84
344,74	14,41
344,97	-4,43
345,19	27,52
345,41	2,53
345,64	25,06
345,86	30,39
346,08	9,09
346,31	4,99
346,53	14,41
346,76	4,99
346,98	43,29
347,20	29,77
347,43	10,52
347,65	16,05
347,87	41,24
348,10	2,53
348,32	21,17
348,54	1,30
348,77	25,47
348,99	29,98
349,21	35,92
349,44	31,82
349,66	30,18
349,88	19,12
350,11	17,07
350,33	-0,33
350,55	42,47
350,78	-8,94
351,00	30,80
351,22	34,69
351,45	10,93
351,67	1,71
351,89	27,52
352,12	0,69
352,34	31,82
352,56	6,63
352,79	9,50
353,01	26,70
353,23	39,19
353,45	24,24
353,68	27,72
353,90	47,38
354,12	16,87
354,35	14,41
354,57	8,88
354,79	33,66
355,01	48,41
355,24	-6,68
355,46	31,82
355,68	-7,09
355,91	34,07
356,13	10,73
356,35	6,83
356,57	34,89
356,80	1,51
357,02	24,04
357,24	11,34
357,46	2,53
357,69	2,94
357,91	42,47
358,13	9,50
358,35	20,35
358,58	27,93
358,80	-9,55
359,02	43,90
359,24	20,15
359,47	49,02
359,69	-4,23
359,91	-3,00
360,13	7,04
360,36	9,09
360,58	23,63
360,80	-13,24
361,02	0,49
361,25	16,87
361,47	26,29
361,69	43,49
361,91	35,10
362,13	23,01
362,36	35,30
362,58	28,13
362,80	22,81
363,02	5,61
363,25	26,49
363,47	17,28
363,69	9,70
363,91	60,49
364,13	42,88
364,36	27,72
364,58	5,40
364,80	13,39
365,02	31,00
365,24	2,74
365,47	15,03
365,69	-1,36
365,91	21,37
366,13	12,36
366,35	0,49
366,57	16,46
366,80	9,09
367,02	20,35
367,24	11,54
367,46	37,96
367,68	28,95
367,90	44,52
368,13	42,26
368,35	26,29
368,57	48,00
368,79	31,41
